Technologie;Data Engineering / Data Architecture;Data Science / AI;Microsoft Azure App Development;Microsoft Azure Administration;Front-End Development;Microsoft Back-End Development;Microsoft Low Code Development;Microsoft Integration Development;Java Back-End Development;Application Architecture;Infrastructure Engineering;Mobile Development;Way of Working (WoW);Product Owner / Analist / Requirements engineer;General;Opmerkingen Nico & Bas
(Agile) Projectbeheersing;;;;;;;;;;;;;x;;;Mist methode & Technieken
(Gebruiker) Acceptatie testen;;;;;;;;;;;;;;;x;Wat bedoelen we hiermee? Automatiseren ervan?
.NET;;;X;;X;X;;X;;;;;;;;Framework? Runtime? API?
.NET MAUI;;;;;X;;;;;;;X;;;;
A/B testing for ML;;X;;;;;;;;;;;;;;
Acceptance criteria (overdracht naar beheer);;;;;;;;;;x;x;;;;x;
Architectural Decision Record (ADR);X;;;;;;;;;x;x;;;;;
Agile estimation (storypoints/tshirt sizing);;;;;;;;;;;;;;;x;
Agile Reporting;;;;;;;;;;;;;x;;;
Android Kotlin;;;;;;;;;;;;X;;;;
Android platform kennis;;;;;;;;;;;;X;;;;
Angular;;;;;X;;;;;;;;;;;
Angular with Signals (new);;;;;X;;;;;;;;;;;
Ansible;;;;;;;;;X;;x;;;;;
Apache Airflow;X;X;;;;;;;;;;;;;;
Apache Kafka;X;;;;;;;;X;X;X;;;;;
Apache Spark;X;X;;;;;;;;;;;;;;
App Store distributie;;;;;;;;;;;;X;;;;
Archimate;;;;;;;;;;x;X;;;;;
ASP.NET;;;;;X;X;;;;;;;;;;
Axon Framework;;;;;;;;;X;;;;;;;
Authenticatie (OAuth, OAuth2.0, SAML, OpenID, etc.);;;;X;X;;;X;X;X;;X;;;;
Azure Active Directory;X;;X;X;X;X;;X;;X;X;;;;;
Azure Advisor;;;X;X;;;;;;;;;;;;
Azure Analysis Services;X;;;;;;;;;;;;;;;
Azure API Management;;;X;;;;;X;;;X;;;;;
Azure App Configuration;;;X;;;;;;;;;;;;;
Azure App Service;;;X;;;;;;;;;;;;;
Azure Application Gateway;;;X;X;;;;X;;;X;;;;;
Azure Automation;;;;X;;;;;;;;;;;;
Azure Blueprints;;;;X;;;;;;;;;;;;
Azure Chaos Studio;;;X;;;;;;;;X;;;;;
Azure CLI;;;X;X;;;;X;;;;;;;;
Azure Cognitive Services;;X;;;;;;;;;;;;;;
Azure Container Apps;;X;X;;;;;;;;;;;;;
Azure Container Instances;;X;X;;;;;;;;X;;;;;
Azure Container Registry;;X;X;;;;;;;;X;;;;;
Azure Cosmos DB;X;;X;;;;;;;X;;;;;;
Azure Data Explorer / Azure Synapse Data Explorer;X;;;;;;;;;;;;;;;
Azure Data Share;X;;;;;;;;;;;;;;;
Azure Databricks;X;X;;;;;;;;;;;;;;
Azure Defender for Cloud;X;;;X;;;;;;;X;;;;;
Azure DevOps;X;X;X;X;X;X;X;X;X;;X;;X;;;
Azure Event Grid;;;X;;;;;X;;X;;;;;;
Azure Event Hubs;X;;X;;;;;X;;X;;;;;;
Azure Firewall;;;;X;;;;;;;X;;;;;
Azure Front Door;;;X;X;;;;X;;;X;;;;;
